author,title,description
David Prosser,None from Wisconsin,David Prosser is a Wisconsin Supreme Court justice. He was appointed to the court in 1998 and was re-elected three years later to a full 10-term term. He previously spent 18 years in the state Assembly representing the Appleton area; for eight of those years he was the Republican leader.
Stephen Wise,,
Thad Altman,Republican from Florida,Thad Altman was elected to the state Senate in 2008 from Senate District 24. Previously he served in the state House.
Ohio Coal Association,None from Ohio,The Ohio Coal Association is a trade association that represents the interests of Ohio’s coal industry.
Tom Niehaus,Republican from Ohio,"Tom Niehaus is a state senator from Ohio's 14th Senate District. In January of 2011, his Republican colleagues unanimously elected him to serve as the president of the Ohio Senate for the 129th General Assembly."
Stefani Carter,Republican from Texas,Stefani Carter is a Republican state representative from Dallas.
Betty McCollum,Democrat from Minnesota,"Betty McCollum is a Democrat serving her sixth term in the United States Congress, representing the families of Minnesota’s Fourth District. In 2000, Congresswoman McCollum made history as only the second Minnesota woman elected to serve in Congress since statehood in 1858."
Michelle Rhee,,Michelle Rhee is the former chancellor of the Washington D.C. public schools system.
Dwight Jones,Democrat from Virginia,"Dwight Jones, a Democrat, was elected mayor of Richmond in 2008 and was re-elected in 2012. He previously served as in the Virginia House of Delegates, representing the 70th District, which is composed of parts of Richmond, Henrico County and Chesterfield County. His term ran from 1994 to 2008. For eight years,  he was chairman of the Virginia Legislative Black Caucus. He also previously served on the Richmond City School Board and as its chairman from 1982 to 1985. Jones is also senior pastor of First Baptist Church of South Richmond. Jones earned bachelor of science and master of divinity degrees from Virginia Union University, Richmond, and a doctorate from United Theological Seminary, Trotwood, Ohio."
General Beauregard Lee,,
DeKalb County,None from Georgia,"DeKalb County, which includes a portion of the city of Atlanta, is Georgia's third highest-populated county."
Bumper Sticker,,"A bumper sticker seen on the back of a Volkswagen VR6 in Washington, D.C."
Mt. Hood Community College,None from Oregon,"Mt. Hood Community College enrolls about 32,000 students and is the fifth largest of 17 community colleges in Oregon."
George W. Bush,Republican from Texas,"George W. Bush served as the 43rd president of the United States. He was sworn into office on Jan. 20, 2001, re-elected on Nov. 2, 2004, and sworn in for a second term on Jan. 20, 2005. Prior to his presidency, President Bush served six years as the 46th governor of the state of Texas."
Portland Community College,None from Oregon,"Portland Community College is the state's largest community college with three comprehensive campuses, six centers and dozens of independent locations throughout the community."
Jim Sullivan,Democrat from Wisconsin,"Jim Sullivan, a Democrat, was elected to the Wisconsin state Senate in 2006 and was defeated for re-election in 2010. He represented the 5th District in the Milwaukee area. He ran unsuccessfully in the nonpartisan 2011 race for Milwaukee County executive."
Franklin Graham,,The Rev. Franklin Graham is a Christian minister and the president and CEO of both the Billy Graham Evangelistic Association and the international relief organization Samaritan's Purse.
Citizens for a Progressive Wisconsin,None from Wisconsin,"Citizens for a Progressive Wisconsin is an interest group that has been active in state-level politics. According to the Center for Responsive Politics, the liberal organization is primarily active in federal politics."
George Packer,,George Packer is a staff writer for The New Yorker.
Carol Browner,,Carol Browner is the director of the White House Office of Energy and Climate Change Policy. She previously served as Administrator of the Environmental Protection Agency during the Clinton administration.
Timothy Geithner,,"Timothy Geithner served as U.S. Secretary of Treasury, having been appointed by President Barack Obama to that position in 2009. Prior to that, Geithner was the president of the Federal Reserve Bank of New York."
Georgia politicians,,Various.
Barney Frank,Democrat from Massachusetts,"Barney Frank has been in Congress since 1981, and was formerly the chairman of the House Financial Services Committee. Previously he was a Massachusetts state representative and an assistant to the mayor of Boston. He has also taught at several Boston-area universities."
Daniel Senor,,Daniel Senor is a former foreign policy advisor in the administration of George W. Bush and senior advisor to the Coalition Provisional Authority in Iraq. He was previously foreign policy and communications aide in the U.S. Senate. He is a founding partner of Rosemont Capital.
Elena Kagan,Democrat from New York,"Elena Kagan is a U.S. Supreme Court justice who was nominated by President Barack Obama in 2010 to succeed the retiring Justice John Paul Stevens. Prior to her nomination, she was solicitor general in the Obama Administration."
Bill Clegg,Republican from Rhode Island,"Bill Clegg, a lawyer, is a former executive director for ethics and compliance at Textron. He is also a a former member of the board of directors of the Rhode Island Airport Corporation and a current member of the Rhode Island Commission on Judicial Tenure and Discipline. He ran for Congress in the 2nd District in 2010. Born in 1955, he graduated from the University of Rhode Island and the Syracuse University College of Law. Clegg was also a colonel in the U.S. Army Reserve and served in Iraq in 2004. He is married and the father of two."
Scott Maddox,Democrat from Florida,"Scott Maddox, a former Florida Democratic Party chairman and former Tallahassee mayor, campaigned to be Florida Commissioner of Agriculture and was defeated on Nov. 2, 2010."
Patrick Leahy,Democrat from Vermont,"U.S. Sen. Patrick Leahy, D-Vt., is the Chairman of the Senate Judiciary Committee."
John Murtha,,"John Murtha was a Democratic congressman who represented a district in western Pennsylvania. The former chairman of the House Appropriations Defense Subcommittee and a decorated Vietnam War veteran, Murtha died in February 2010."
Recovery.gov,,Recovery.gov is the U.S. government's official website providing access to data related to the American Recovery and Reinvestment Act of 2009.
Mary Matalin,,Mary Matalin is a Republican political consultant and commentator.
Lou Dobbs,,Lou Dobbs is a television host on Fox Business Network. He was formerly the host of CNN’s ‘Lou Dobbs Tonight’.
Michelle Malkin,None from Colorado,Malkin is a prominent conservative blogger and pundit
Kimberly Guilfoyle,,Kimberly Guilfoyle is a co-host of The Five.
House Republican Conference,,
Chuck Grassley,Republican from Iowa,Chuck Grassley is a Republican senator from Iowa.
Fred Smith,,Chair and Chief Executive Officer of FedEx
Pat Roberts,Republican from Kansas,"Pat Roberts of Kansas was elected to the U.S. Senate in 1996. He previously served as a U.S. Congressman, elected in 1980."
Spencer Bachus,Republican from Alabama,Rep. Spencer Bachus has represented Alabama’s 6th district in the U.S. House since 1993. He became chairman of the Financial Services Committee following the midterm elections of 2010 after having served as the ranking member of that committee for four years prior.
Brian Schweitzer,Democrat from Montana,Brian Schweitzer is governor of Montana.
Jerome R. Corsi,,
John Edwards,Democrat from North Carolina,"John Edwards is a former U.S. senator from North Carolina who was John Kerry's running mate in 2004. A personal injury attorney, Edwards was born in South Carolina in 1953 and now lives in Chapel Hill, N.C. He graduated from North Carolina State University and earned a law degree from the University of North Carolina Law School. He is married to Elizabeth Edwards, who has been diagnosed with cancer. They have three children; a fourth was killed in an auto accident. He withdrew from the presidential race on Jan. 30, 2008."
